X,Y,full_id,osm_id,osm_type,amenity,name:pl,source:amenity,internet_access:ssid,school:gender,max_age,internet_access,level,landcover,isced,bench,name:de,contact:instagram,addr:suburb,ref,school:for,loc_name,not:operator:wikidata,kindergarten,amenity_1,opening_hours,min_age,old_addr:place,old_addr:housenumber,mobile,facebook,toilets,int_name,description,postal_code,url,name:short,fee,note:pl,historic,tourism,height,roof:shape,old_name,toilets:wheelchair,wikimedia_commons,roof:levels,wheelchair,start_date,polling_station,addr:housename,source:geometry,source:building,name:en,fence_type,building:levels,religion,denomination,contact:facebook,check_date,full_name,fax,ref:regon,isced:level,grades,email,alt_name,education,source:addr,addr:street:sym_ul,addr:city:simc,barrier,official_name,landuse,operator:wikidata,operator:type,operator:short,operator,phone,wikipedia,wikidata,name:etymology:wikidata,addr:country,contact:fax,ref:rspo,contact:website,website,short_name,patron,contact:phone,contact:email,addr:street,type,name,building,addr:postcode,addr:place,addr:housenumber,addr:city,gmina,shapeISO,shapeID,shapeGroup,shapeType,powiat,shapeISO_2,shapeID_2,shapeGroup_2,shapeType_2
21.0148060271641,50.0168840177973,r20204779,"20204779",relation,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sekretsp9@umt.tarnow.pl,,,,,,fence,,,,,,,+48 14 690 81 10,,,,,,,,http://sp9tarnow.pl/,,,,,,multipolygon,Szkoła Podstawowa nr 9 im. Orląt Lwowskich w Tarnowie,,,,,,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
20.9577639048717,50.0088284073094,w229459126,"229459126",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kontakt@msc.edu.pl,,,,,,,Mistrzowska Szkoła Coachingu,,,,,,+48 604 073 307,,,,,,,,https://msc.edu.pl/,,,,,Jana Kochanowskiego,,MSC Sp. z o.o.,yes,,,"32",Tarnów,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
20.9553722447916,50.0392354284114,w307441416,"307441416",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+48 14 626 69 58,,,,,,,,http://sp10.edunet.tarnow.pl/pl,,,,,Niedomicka,,"Szkoła Podstawowa nr 10 im. Romana ""Sybiraka"" Sanguszki w Tarnowie",,33-100,,"20",Tarnów,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
21.0023536703932,50.0275690971374,w388003990,"388003990",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sekretzso4@umt.tarnow.pl,,school,,,,,,,,,,Miasto Tarnów,+48 14 622 32 21,,,,,,,,http://www.zso4.okay.pl/,,,,,,,Szkoła Podstawowa nr 23 im. Jana Pawła II w Tarnowie,,,,,,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
20.9907484358045,50.0189770330798,w388093841,"388093841",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sekretariat@siodemka.tarnow.pl,,,,,,fence,,,,,,"Stowarzyszenie ""Siódemka"" w Tarnowie",+48 14 699 12 00,,,,,,,,https://www.siodemka.tarnow.pl/,,,,,Józefa Poniatowskiego,,"Niepubliczny Zespół Szkolno-Przedszkolny Stowarzyszenia ""Siódemka"" w Tarnowie",,33-100,,"5",Tarnów,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
21.0047732115345,50.0197655278918,w570474407,"570474407",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,https://sp8.tarnow.pl/,,,,,Bitwy pod Studziankami,,Szkoła Podstawowa nr 8 im. Krzysztofa Kamila Baczyńskiego,,33-100,,"5",Tarnów,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
20.9943561086339,50.0154911895099,w758812137,"758812137",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pl:II Liceum Ogólnokształcące im. Hetmana Jana Tarnowskiego w Tarnowie,Q9295984,,,,,,https://ii-lo.tarnow.pl/,,,,,Adama Mickiewicza,,II Liceum Ogólnokształcące im. hetmana Jana Tarnowskiego w Tarnowie,,33-100,,"16",Tarnów,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
20.9889115707426,50.0147299752122,w758812139,"758812139",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://zso.tarnow.pl/,,,,,Kazimierza Brodzińskiego,,Zespół Szkół Ogólnokształcących i Technicznych im. Jana Szczepanika,,33-100,,"9",Tarnów,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
20.9880265426069,50.0150442164617,w758812140,"758812140",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.iii-lo.tarnow.pl/,,,,,Kazimierza Brodzińskiego,,III Liceum Ogólnokształcące im. Adama Mickiewicza w Tarnowie,,33-100,,"6",Tarnów,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
20.9808633488734,50.009082324715,w862052233,"862052233",way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dyrzso6@umt.tarnow.pl,,,,,,,,,,,,Gmina Miasta Tarnowa,+48 146 558 018,,,,,,"8538",,http://www.zso6.tarnow.pl,,,,,,,Zespół Szkół Ogólnokształcących Nr 6 Z Oddziałami Integracyjnymi W Tarnowie,,,,,,Tarnów,,59564084B93779816142112,POL,ADM3,Tarnów,,97123803B93779816142112,POL,ADM2
